,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date_1,day,return,close,Name
94,2016-10-18,48.70000076293945,48.45000076293945,48.599998474121094,577000.0,38.570011138916016,48.60999984741211,49.44999961853027,50.416666158040364,-0.6064484881720844,48.56524627193235,2016,10,18,1,0.09999847412109375,48.599998474121094,億光(2393)
95,2016-10-19,48.95000076293945,48.29999923706055,48.599998474121094,1427000.0,38.3319206237793,48.48999938964844,49.14999961853027,50.339999516805015,-0.6473837063175125,48.38841491535115,2016,10,19,2,-0.2999992370605469,48.29999923706055,億光(2393)
96,2016-10-20,48.650001525878906,48.099998474121094,48.349998474121094,1262000.0,38.252559661865234,48.37999954223633,48.90999984741211,50.25999959309896,-0.680049848968693,48.262805480410016,2016,10,20,3,-0.09999847412109375,48.20000076293945,億光(2393)
97,2016-10-21,48.349998474121094,48.04999923706055,48.20000076293945,1629000.0,38.13351821899414,48.32999954223633,48.63499984741211,50.21999956766764,-0.7098523803954109,48.12093465151037,2016,10,21,4,-0.15000152587890625,48.04999923706055,億光(2393)
98,2016-10-24,48.29999923706055,48.099998474121094,48.20000076293945,560000.0,38.173194885253906,48.24999923706055,48.489999771118164,50.16166623433431,-0.7211249929188739,48.106977199917516,2016,10,24,0,0.049999237060546875,48.099998474121094,億光(2393)
99,2016-10-25,49.349998474121094,48.20000076293945,48.20000076293945,1568000.0,39.125545501708984,48.38999938964844,48.499999618530275,50.118332926432295,-0.6260521101253502,48.90232522467954,2016,10,25,1,1.2000007629394531,49.29999923706055,億光(2393)
100,2016-10-26,49.349998474121094,48.70000076293945,49.29999923706055,771000.0,38.64937210083008,48.46999969482422,48.47999954223633,50.018332926432294,-0.5922746532051377,48.76744225018615,2016,10,26,2,-0.5999984741210938,48.70000076293945,億光(2393)
101,2016-10-27,48.95000076293945,48.599998474121094,48.70000076293945,457000.0,38.76841735839844,48.599999237060544,48.48999938964844,49.919999567667645,-0.5470996942685673,48.82247973280945,2016,10,27,3,0.14999771118164062,48.849998474121094,億光(2393)
102,2016-10-28,48.849998474121094,48.04999923706055,48.849998474121094,1542000.0,38.173194885253906,48.609999084472655,48.46999931335449,49.796666208903,-0.5652802763653995,48.340825560350545,2016,10,28,4,-0.75,48.099998474121094,億光(2393)
103,2016-10-31,48.0,47.0,48.0,1295000.0,37.81606674194336,48.51999969482422,48.384999465942386,49.66833292643229,-0.6089680514074445,47.880276204036115,2016,10,31,0,-0.4499969482421875,47.650001525878906,億光(2393)
104,2016-11-01,47.95000076293945,46.70000076293945,47.95000076293945,1800000.0,37.30021667480469,48.05999984741211,48.224999618530276,49.50166625976563,-0.6880931802275398,47.29342540134537,2016,11,1,1,-0.6500015258789062,47.0,億光(2393)
105,2016-11-02,46.900001525878906,46.29999923706055,46.599998474121094,1423000.0,36.82404327392578,47.6,48.03499984741211,49.33833300272624,-0.7900941223071882,46.697809484367724,2016,11,2,2,-0.5999984741210938,46.400001525878906,億光(2393)
106,2016-11-03,46.400001525878906,45.54999923706055,46.400001525878906,2302000.0,36.189144134521484,46.95,47.77499961853027,49.14499956766765,-0.9248070372705683,45.96593547753664,2016,11,3,3,-0.8000030517578125,45.599998474121094,億光(2393)
107,2016-11-04,47.29999923706055,46.20000076293945,46.5,2430000.0,36.784358978271484,46.6,47.60499954223633,48.98666623433431,-0.9599961133117958,46.221977475259614,2016,11,4,4,0.75,46.349998474121094,億光(2393)
108,2016-11-07,46.70000076293945,45.95000076293945,46.54999923706055,1596000.0,36.74467849731445,46.32999954223633,47.42499961853027,48.82333285013835,-0.9806130241621531,46.273991983126905,2016,11,7,0,-0.049999237060546875,46.29999923706055,億光(2393)
109,2016-11-08,46.70000076293945,46.04999923706055,46.5,1065000.0,36.54627227783203,46.13999938964844,47.099999618530276,48.671666208903,-1.0055295204179018,46.12466348574933,2016,11,8,1,-0.25,46.04999923706055,億光(2393)
110,2016-11-09,46.45000076293945,44.79999923706055,46.29999923706055,2139000.0,35.871700286865234,45.89999923706055,46.749999618530275,48.49166628519694,-1.0813854510477228,45.508221670542746,2016,11,9,2,-0.8499984741210938,45.20000076293945,億光(2393)
111,2016-11-10,46.04999923706055,45.70000076293945,45.900001525878906,1100000.0,36.46691131591797,45.96999969482422,46.45999984741211,48.336666361490884,-1.068673758641303,45.80274106547389,2016,11,10,3,0.75,45.95000076293945,億光(2393)
112,2016-11-11,45.79999923706055,44.95000076293945,45.79999923706055,2141000.0,35.67329025268555,45.69000015258789,46.14500007629395,48.16833305358887,-1.1262952462871922,45.234247530450936,2016,11,11,4,-1.0,44.95000076293945,億光(2393)
113,2016-11-14,45.0,44.349998474121094,45.0,1407000.0,35.35584259033203,45.34000015258789,45.83499984741211,47.9766663869222,-1.1905089952286119,44.77808200152401,2016,11,14,0,-0.40000152587890625,44.54999923706055,億光(2393)
114,2016-11-15,45.75,44.599998474121094,44.70000076293945,1276000.0,36.22882843017578,45.26000061035156,45.7,47.791666412353514,-1.139513684403049,45.35936168442728,2016,11,15,1,1.1000022888183594,45.650001525878906,億光(2393)
115,2016-11-16,45.75,45.20000076293945,45.75,1189000.0,35.95105743408203,45.28000030517578,45.589999771118165,47.59166641235352,-1.1144909559427774,45.319786719516124,2016,11,16,2,-0.3500022888183594,45.29999923706055,億光(2393)
116,2016-11-17,45.54999923706055,45.04999923706055,45.099998474121094,1141000.0,36.03042221069336,45.17000045776367,45.570000076293944,47.41833318074544,-1.074208815202013,45.37326325709131,2016,11,17,3,0.10000228881835938,45.400001525878906,億光(2393)
117,2016-11-18,46.150001525878906,45.20000076293945,45.29999923706055,1035000.0,36.62563705444336,45.41000061035156,45.55000038146973,47.263333257039385,-0.9705841309607948,45.891088769616374,2016,11,18,4,0.75,46.150001525878906,億光(2393)
118,2016-11-21,46.150001525878906,45.5,46.150001525878906,1301000.0,36.30818557739258,45.650000762939456,45.49500045776367,47.13666661580404,-0.91024167214497,45.797029589872125,2016,11,21,0,-0.40000152587890625,45.75,億光(2393)
119,2016-11-22,46.099998474121094,45.650001525878906,45.849998474121094,1549000.0,36.26850509643555,45.66000061035156,45.460000610351564,47.01999994913737,-0.8565797771067665,45.732343705250344,2016,11,22,1,-0.049999237060546875,45.70000076293945,億光(2393)
120,2016-11-23,46.599998474121094,45.849998474121094,45.95000076293945,1999000.0,36.66531753540039,45.84000091552734,45.560000610351565,46.929999923706056,-0.7648926065484076,46.04411507704308,2016,11,23,2,0.5,46.20000076293945,億光(2393)
