,date,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date,date,day,close,Name
728,2019-05-28,28,6.860000133514404,6.699999809265137,6.860000133514404,10896897.0,6.410791397094727,6.813999938964844,6.8599999904632565,7.458333285649617,-0.20245556563004552,6.742721184942521,2019,5,2019-05-28,28,1,6.699999809265137,彩晶(6116)
729,2019-05-29,29,6.829999923706055,6.699999809265137,6.699999809265137,9680126.0,6.525611877441406,6.8,6.834000015258789,7.4116666158040365,-0.196158833641487,6.794240509421758,2019,5,2019-05-29,29,2,6.820000171661377,彩晶(6116)
730,2019-05-30,30,6.929999828338623,6.78000020980835,6.800000190734863,8582769.0,6.602158546447754,6.823999977111816,6.834000015258789,7.362999963760376,-0.18260830801416894,6.864746900052207,2019,5,2019-05-30,30,3,6.900000095367432,彩晶(6116)
731,2019-05-31,31,6.989999771118164,6.880000114440918,6.889999866485596,9699353.0,6.6595683097839355,6.838000011444092,6.844000005722046,7.32566663424174,-0.16512447275093134,6.9282489921153845,2019,5,2019-05-31,31,4,6.960000038146973,彩晶(6116)
732,2019-06-03,3,6.940000057220459,6.860000133514404,6.900000095367432,6522463.0,6.602158546447754,6.85600004196167,6.851999998092651,7.281666628519694,-0.15433087106840482,6.909416394283416,2019,6,2019-06-03,3,0,6.900000095367432,彩晶(6116)
733,2019-06-04,4,7.03000020980835,6.889999866485596,6.889999866485596,6784977.0,6.6691365242004395,6.910000038146973,6.861999988555908,7.243666632970174,-0.13853156792867072,6.949805324888906,2019,6,2019-06-04,4,1,6.96999979019165,彩晶(6116)
734,2019-06-05,5,7.059999942779541,6.909999847412109,7.050000190734863,7518764.0,6.611726760864258,6.927999973297119,6.86399998664856,7.20499997138977,-0.12936080941780403,6.923268339904375,2019,6,2019-06-05,5,2,6.909999847412109,彩晶(6116)
735,2019-06-06,6,6.989999771118164,6.860000133514404,6.920000076293945,7097797.0,6.583021640777588,6.923999977111817,6.873999977111817,7.164333295822144,-0.12309468604183049,6.894422856262071,2019,6,2019-06-06,6,3,6.880000114440918,彩晶(6116)
736,2019-06-10,10,6.929999828338623,6.829999923706055,6.909999847412109,8321556.0,6.53518009185791,6.897999954223633,6.8679999828338625,7.119666624069214,-0.12077116087948347,6.851474234558061,2019,6,2019-06-10,10,0,6.829999923706055,彩晶(6116)
737,2019-06-11,11,6.940000057220459,6.849999904632568,6.849999904632568,12242929.0,6.573453426361084,6.891999912261963,6.873999977111817,7.08099996248881,-0.11438354550897589,6.863824668558742,2019,6,2019-06-11,11,1,6.869999885559082,彩晶(6116)
738,2019-06-12,12,6.929999828338623,6.840000152587891,6.900000095367432,6887720.0,6.544748306274414,6.865999984741211,6.888000011444092,7.044333299001058,-0.11046862845560845,6.847941657911508,2019,6,2019-06-12,12,2,6.840000152587891,彩晶(6116)
739,2019-06-13,13,6.849999904632568,6.78000020980835,6.829999923706055,7508872.0,6.496906757354736,6.8420000076293945,6.884999990463257,7.0043333053588865,-0.11013110320511732,6.809313860539188,2019,6,2019-06-13,13,3,6.789999961853027,彩晶(6116)
740,2019-06-14,14,6.829999923706055,6.769999980926514,6.820000171661377,6412733.0,6.496906757354736,6.823999977111816,6.873999977111817,6.965666643778483,-0.10861160503786405,6.7964379280817475,2019,6,2019-06-14,14,4,6.789999961853027,彩晶(6116)
741,2019-06-17,17,6.800000190734863,6.710000038146973,6.789999961853027,9606727.0,6.420360088348389,6.8,6.848999977111816,6.926333316167196,-0.11256513622767539,6.738812668125231,2019,6,2019-06-17,17,0,6.710000038146973,彩晶(6116)
742,2019-06-18,18,6.75,6.679999828338623,6.71999979019165,7977694.0,6.401223182678223,6.764000034332275,6.8279999732971195,6.904999987284342,-0.11597527867277524,6.706270927522049,2019,6,2019-06-18,18,1,6.690000057220459,彩晶(6116)
743,2019-06-19,19,6.809999942779541,6.710000038146973,6.730000019073486,12786984.0,6.4586334228515625,6.746000003814697,6.805999994277954,6.884333324432373,-0.11253906687757276,6.7354236425073495,2019,6,2019-06-19,19,2,6.75,彩晶(6116)
744,2019-06-20,20,6.820000171661377,6.71999979019165,6.760000228881836,9380761.0,6.487338542938232,6.744000053405761,6.793000030517578,6.869000005722046,-0.1061712025304935,6.76514135404135,2019,6,2019-06-20,20,3,6.78000020980835,彩晶(6116)
745,2019-06-21,21,6.869999885559082,6.690000057220459,6.809999942779541,43704792.0,6.401223182678223,6.724000072479248,6.774000024795532,6.856666676203409,-0.10715170613987368,6.7150471561607565,2019,6,2019-06-21,21,4,6.690000057220459,彩晶(6116)
746,2019-06-24,24,6.730000019073486,6.5,6.730000019073486,55519045.0,6.276834487915039,6.6940000534057615,6.747000026702881,6.840000009536743,-0.11706918440872194,6.611682347239946,2019,6,2019-06-24,24,0,6.559999942779541,彩晶(6116)
747,2019-06-25,25,6.679999828338623,6.510000228881836,6.599999904632568,41648437.0,6.238561153411865,6.660000038146973,6.712000036239624,6.827666680018107,-0.12669604685368796,6.5505607696976575,2019,6,2019-06-25,25,1,6.519999980926514,彩晶(6116)
748,2019-06-26,26,6.590000152587891,6.53000020980835,6.590000152587891,6919868.0,6.295971393585205,6.626000022888183,6.686000013351441,6.811333338419597,-0.1280083106346659,6.570186872369923,2019,6,2019-06-26,26,2,6.579999923706055,彩晶(6116)
749,2019-06-27,27,6.670000076293945,6.579999923706055,6.599999904632568,11940754.0,6.362949848175049,6.6,6.6720000267028805,6.797000010808309,-0.12199359408398802,6.623395687701596,2019,6,2019-06-27,27,3,6.650000095367432,彩晶(6116)
750,2019-06-28,28,6.690000057220459,6.599999904632568,6.650000095367432,7576168.0,6.315107822418213,6.581999969482422,6.653000020980835,6.78700000445048,-0.11987958813756094,6.6077984989889105,2019,6,2019-06-28,28,4,6.599999904632568,彩晶(6116)
751,2019-07-01,1,6.710000038146973,6.610000133514404,6.690000057220459,12068606.0,6.362949848175049,6.6,6.647000026702881,6.780000003178914,-0.11286854731592477,6.635932896574591,2019,7,2019-07-01,1,0,6.650000095367432,彩晶(6116)
752,2019-07-02,2,6.650000095367432,6.590000152587891,6.650000095367432,11195981.0,6.334244728088379,6.619999980926513,6.6400000095367435,6.7733333269755045,-0.10848249449376102,6.625310889230918,2019,7,2019-07-02,2,1,6.619999885559082,彩晶(6116)
753,2019-07-03,3,6.690000057220459,6.599999904632568,6.690000057220459,6546505.0,6.362949848175049,6.634000015258789,6.630000019073487,6.766000000635783,-0.10141668144901939,6.641770359988594,2019,7,2019-07-03,3,2,6.650000095367432,彩晶(6116)
754,2019-07-04,4,6.679999828338623,6.630000114440918,6.670000076293945,6390767.0,6.382086753845215,6.638000011444092,6.619000005722046,6.7586666742960615,-0.0931296023064494,6.660590170858828,2019,7,2019-07-04,4,3,6.670000076293945,彩晶(6116)
755,2019-07-05,5,6.829999923706055,6.670000076293945,6.670000076293945,24508226.0,6.50647497177124,6.67800006866455,6.630000019073487,6.759333340326945,-0.07520519097374834,6.753530184109518,2019,7,2019-07-05,5,4,6.800000190734863,彩晶(6116)
756,2019-07-08,8,6.889999866485596,6.75,6.809999942779541,11637027.0,6.468201637268066,6.7000000953674315,6.650000047683716,6.755000019073487,-0.06349568969596131,6.757843547291063,2019,7,2019-07-08,8,0,6.760000228881836,彩晶(6116)
757,2019-07-09,9,6.789999961853027,6.710000038146973,6.769999980926514,5083141.0,6.429927825927734,6.720000076293945,6.67000002861023,6.752000013987224,-0.056788899590975994,6.732614375891455,2019,7,2019-07-09,9,1,6.71999979019165,彩晶(6116)
758,2019-07-10,10,6.789999961853027,6.730000019073486,6.75,6677546.0,6.4394965171813965,6.736000061035156,6.685000038146972,6.753000020980835,-0.05008938595585821,6.730871471346142,2019,7,2019-07-10,10,2,6.730000019073486,彩晶(6116)
